,TimeStamp,USM,SUJvalues,JointValues,EndoscopePosition
0,1.63793E+12,3,0.45511 0.0421889 0.0241563 -0.476976 0.0 0.0,0.788387 0.551865 -0.22123 0.128175 0.671265 0.43581 -0.0419232 -0.91346 0.764012 0.0241563,-0.01389 0.00926836 0.0753077 -0.422081 0.902851 0.0818808 -0.862351 -0.427718 0.270939 0.279642 0.0437465 0.959106
1,1.63793E+12,3,0.45511 0.0421889 0.0241563 -0.476976 0.0 0.0,0.788387 0.551865 -0.22123 0.128175 0.671265 0.43581 -0.0419232 -0.91346 0.764012 0.0241563,-0.01389 0.00926836 0.0753077 -0.422081 0.902851 0.0818808 -0.862351 -0.427718 0.270939 0.279642 0.0437465 0.959106
2,1.63793E+12,3,0.45511 0.0421889 0.0241563 -0.476976 0.0 0.0,0.788387 0.551865 -0.22123 0.128175 0.671265 0.43581 -0.0419232 -0.91346 0.764012 0.0241563,-0.01389 0.00926836 0.0753077 -0.422081 0.902851 0.0818808 -0.862351 -0.427718 0.270939 0.279642 0.0437465 0.959106
3,1.63793E+12,3,0.45511 0.0421889 0.0241563 -0.476976 0.0 0.0,0.788387 0.551865 -0.22123 0.128175 0.671265 0.43581 -0.0419232 -0.91346 0.764012 0.0241563,-0.01389 0.00926836 0.0753077 -0.422081 0.902851 0.0818808 -0.862351 -0.427718 0.270939 0.279642 0.0437465 0.959106
4,1.63793E+12,3,0.45511 0.0421889 0.0241563 -0.476976 0.0 0.0,0.788387 0.551865 -0.22123 0.128175 0.671265 0.43581 -0.0419232 -0.91346 0.764012 0.0241563,-0.01389 0.00926836 0.0753077 -0.422081 0.902851 0.0818808 -0.862351 -0.427718 0.270939 0.279642 0.0437465 0.959106
5,1.63793E+12,3,0.45511 0.0421889 0.0241563 -0.476976 0.0 0.0,0.788387 0.554726 -0.21931 0.127877 0.678455 0.434146 -0.0163186 -0.768177 0.764066 0.0241563,-0.0138272 0.00970917 0.075051 -0.416971 0.904165 0.0928239 -0.853169 -0.424566 0.303062 0.31343 0.0471719 0.948438
6,1.63793E+12,3,0.45511 0.0421889 0.0241563 -0.476976 0.0 0.0,0.788387 0.554726 -0.21931 0.127877 0.678455 0.434146 -0.0163186 -0.768177 0.764066 0.0241563,-0.0138272 0.00970917 0.075051 -0.416971 0.904165 0.0928239 -0.853169 -0.424566 0.303062 0.31343 0.0471719 0.948438
7,1.63793E+12,3,0.45511 0.0421889 0.0241563 -0.476976 0.0 0.0,0.788387 0.554726 -0.21931 0.127877 0.678455 0.434146 -0.0163186 -0.768177 0.764066 0.0241563,-0.0138272 0.00970917 0.075051 -0.416971 0.904165 0.0928239 -0.853169 -0.424566 0.303062 0.31343 0.0471719 0.948438
8,1.63793E+12,3,0.45511 0.0421889 0.0241563 -0.476976 0.0 0.0,0.788386 0.58811 -0.20311 0.124412 0.632895 0.500514 0.333596 0.0984361 0.763759 0.0241563,-0.0135518 0.013507 0.0696416 -0.411982 0.889056 0.199615 -0.641968 -0.438674 0.628843 0.646645 0.130924 0.751471
9,1.63793E+12,3,0.45511 0.0421889 0.0241563 -0.476976 0.0 0.0,0.788386 0.58811 -0.20311 0.124412 0.632895 0.500514 0.333596 0.0984361 0.763759 0.0241563,-0.0135518 0.013507 0.0696416 -0.411982 0.889056 0.199615 -0.641968 -0.438674 0.628843 0.646645 0.130924 0.751471
10,1.63793E+12,3,0.45511 0.0421889 0.0241563 -0.476976 0.0 0.0,0.788386 0.58811 -0.20311 0.124412 0.632895 0.500514 0.333596 0.0984361 0.763759 0.0241563,-0.0135518 0.013507 0.0696416 -0.411982 0.889056 0.199615 -0.641968 -0.438674 0.628843 0.646645 0.130924 0.751471
11,1.63793E+12,3,0.45511 0.0421889 0.0241563 -0.476976 0.0 0.0,0.788386 0.5971 -0.197604 0.12344 0.621176 0.517425 0.366682 0.190244 0.763831 0.0241563,-0.0134421 0.0145443 0.0683674 -0.409918 0.886 0.216719 -0.601793 -0.441256 0.665687 0.68543 0.142456 0.714067
12,1.63793E+12,3,0.45511 0.0421889 0.0241563 -0.476976 0.0 0.0,0.788387 0.601764 -0.194902 0.122991 0.615457 0.523072 0.383346 0.222035 0.763795 0.0241563,-0.0133143 0.0149986 0.0678335 -0.409426 0.883861 0.226178 -0.581441 -0.443825 0.681869 0.703063 0.147664 0.695626
