,TimeStamp,USM,SUJvalues,JointValues,EndoscopePosition
45,1.63793E+12,0,0.141825 0.0516403 0.0702158 0.0275629 0.0 0.0,0.785732 -2.12628 -0.248691 0.108219 -4.79932 -0.0851498 -0.285156 -0.346382 0.75852 0.0702158,0.0862328 0.0275785 0.0301487 -0.67372 0.345215 -0.653397 -0.584794 -0.78962 0.185794 -0.451795 0.507276 0.733862
50,1.63793E+12,0,0.141889 0.0516515 0.0702158 0.0275629 0.0 0.0,0.785732 -2.12628 -0.248691 0.108219 -4.79934 -0.0851564 -0.285156 -0.346375 0.758574 0.0702158,0.0862328 0.0275785 0.0301487 -0.67372 0.345215 -0.653397 -0.584794 -0.78962 0.185794 -0.451795 0.507276 0.733862
55,1.63793E+12,0,0.141825 0.0516515 0.0702158 0.0275629 0.0 0.0,0.785732 -2.12628 -0.248691 0.108219 -4.79932 -0.0851355 -0.285161 -0.346381 0.758538 0.0702158,0.0862328 0.0275785 0.0301487 -0.67372 0.345215 -0.653397 -0.584794 -0.78962 0.185794 -0.451795 0.507276 0.733862
60,1.63793E+12,0,0.141889 0.0516515 0.0702158 0.0276588 0.0 0.0,0.785732 -2.12628 -0.248691 0.108219 -4.79932 -0.0851421 -0.285156 -0.346378 0.758592 0.0702158,0.0862328 0.0275785 0.0301487 -0.67372 0.345215 -0.653397 -0.584794 -0.78962 0.185794 -0.451795 0.507276 0.733862
65,1.63793E+12,0,0.141889 0.0516403 0.0702158 0.0275629 0.0 0.0,0.785732 -2.12628 -0.248691 0.108219 -4.79933 -0.0851393 -0.285158 -0.34638 0.75852 0.0702158,0.0862328 0.0275785 0.0301487 -0.67372 0.345215 -0.653397 -0.584794 -0.78962 0.185794 -0.451795 0.507276 0.733862
70,1.63793E+12,0,0.141889 0.0516515 0.0702158 0.0275629 0.0 0.0,0.785732 -2.12628 -0.248691 0.108219 -4.79933 -0.0851421 -0.285162 -0.346382 0.758646 0.0702158,0.0862328 0.0275785 0.0301487 -0.67372 0.345215 -0.653397 -0.584794 -0.78962 0.185794 -0.451795 0.507276 0.733862
77,1.63793E+12,0,0.141889 0.0516515 0.0702158 0.0275629 0.0 0.0,0.785732 -2.12628 -0.248691 0.108219 -4.79935 -0.0851355 -0.285152 -0.346378 0.75861 0.0702158,0.0862328 0.0275785 0.0301487 -0.67372 0.345215 -0.653397 -0.584794 -0.78962 0.185794 -0.451795 0.507276 0.733862
83,1.63793E+12,0,0.141825 0.0516515 0.0702158 0.0275629 0.0 0.0,0.785732 -2.12628 -0.248691 0.108219 -4.79932 -0.0851536 -0.285144 -0.346382 0.758483 0.0702158,0.0862328 0.0275785 0.0301487 -0.67372 0.345215 -0.653397 -0.584794 -0.78962 0.185794 -0.451795 0.507276 0.733862
85,1.63793E+12,0,0.141889 0.0516515 0.0702158 0.0276588 0.0 0.0,0.785732 -2.12628 -0.248691 0.108219 -4.79932 -0.0851564 -0.285151 -0.34638 0.758502 0.0702158,0.0862328 0.0275785 0.0301487 -0.67372 0.345215 -0.653397 -0.584794 -0.78962 0.185794 -0.451795 0.507276 0.733862
90,1.63793E+12,0,0.141889 0.0516515 0.0702158 0.0275629 0.0 0.0,0.785732 -2.12628 -0.248691 0.108219 -4.79932 -0.0851421 -0.285155 -0.34639 0.758538 0.0702158,0.0862328 0.0275785 0.0301487 -0.67372 0.345215 -0.653397 -0.584794 -0.78962 0.185794 -0.451795 0.507276 0.733862
95,1.63793E+12,0,0.141889 0.0516515 0.0702158 0.0276588 0.0 0.0,0.785732 -2.12628 -0.248691 0.108219 -4.79932 -0.0851421 -0.285162 -0.346386 0.758592 0.0702158,0.0862328 0.0275785 0.0301487 -0.67372 0.345215 -0.653397 -0.584794 -0.78962 0.185794 -0.451795 0.507276 0.733862
100,1.63793E+12,0,0.141825 0.0516515 0.0702158 0.0276588 0.0 0.0,0.785732 -2.12628 -0.248691 0.108219 -4.79934 -0.0851536 -0.285149 -0.346374 0.758538 0.0702158,0.0862328 0.0275785 0.0301487 -0.67372 0.345215 -0.653397 -0.584794 -0.78962 0.185794 -0.451795 0.507276 0.733862
104,1.63793E+12,0,0.141825 0.0516515 0.0702158 0.0276588 0.0 0.0,0.785732 -2.12628 -0.248691 0.108219 -4.79932 -0.0851355 -0.285158 -0.346384 0.75852 0.0702158,0.0862328 0.0275785 0.0301487 -0.67372 0.345215 -0.653397 -0.584794 -0.78962 0.185794 -0.451795 0.507276 0.733862
110,1.63793E+12,0,0.141889 0.0516515 0.0702158 0.0275629 0.0 0.0,0.785732 -2.12628 -0.248691 0.108219 -4.79935 -0.0851536 -0.285149 -0.346379 0.758538 0.0702158,0.0862328 0.0275785 0.0301487 -0.67372 0.345215 -0.653397 -0.584794 -0.78962 0.185794 -0.451795 0.507276 0.733862
