,TimeStamp,USM,SUJvalues,JointValues,EndoscopePosition,EE
45,1.64E+12,3.00E+00,0.45511 0.0421889 0.0241563 -0.476976 0.0 0.0,0.788388 0.673562 -0.156606 0.124894 0.692921 0.267543 0.256005 0.280755 0.763958 0.0241563,5.13485e-06 0.000287544 0.0502235 -0.272387 0.8562 0.439002 -0.786036 -0.461151 0.41169 0.554937 -0.232934 0.798615,[0.046988182772524 -0.137490163715126 -0.989387975245972 0.656932706479796;-0.906707711383397 0.409732992133818 -0.100000006374759 0.0966187854481355;0.419133912726731 0.901784525282319 -0.105410782957553 1.01015128875947;0 0 0 1]
50,1.64E+12,3.00E+00,0.45511 0.0421889 0.0241563 -0.476976 0.0 0.0,0.788386 0.662799 -0.137152 0.125883 0.689402 0.195605 0.192825 0.303148 0.764012 0.0241563,-0.00156225 0.00212025 0.0520354 -0.306667 0.85492 0.418406 -0.808521 -0.465936 0.359441 0.502246 -0.228063 0.834108,[0.0655864009599058 -0.173611445438257 -0.982627849199261 0.723206190059632;-0.863871913194887 0.482988441228296 -0.142994696520068 0.109897533721562;0.499423409145118 0.858243107547448 -0.118300577957878 0.991009959669227;0 0 0 1]
55,1.64E+12,3.00E+00,0.45511 0.0421889 0.0241563 -0.476976 0.0 0.0,0.788386 0.660701 -0.124034 0.126161 0.744984 0.222901 0.144276 0.3108 0.764139 0.0241563,-0.000688934 0.00307501 0.0525208 -0.336388 0.861216 0.380981 -0.834095 -0.460283 0.304016 0.437185 -0.215509 0.873169,[0.0622935033428846 -0.140091264683763 -0.988177087874726 0.690913580338174;-0.816409765431994 0.562373394431919 -0.131191692352823 0.120640666807457;0.574103313305669 0.814929814643215 -0.0793396676135479 1.01362795571439;0 0 0 1]
60,1.64E+12,3.00E+00,0.45511 0.0421889 0.0241563 -0.476976 0.0 0.0,0.788387 0.670838 -0.137912 0.128665 0.628168 0.231598 0.00204659 0.314895 0.764121 0.0241563,0.00206503 0.0020079 0.0541935 -0.46755 0.81327 0.34639 -0.809206 -0.551497 0.202579 0.355787 -0.185587 0.915955,[0.114481772380242 -0.32355579534246 -0.939257989634896 0.696377513638088;-0.686839541553923 0.65731294020981 -0.310146969662337 0.0848179699419835;0.71773628022462 0.680625701786997 -0.146980563736443 0.985766554086352;0 0 0 1]
65,1.64E+12,3.00E+00,0.455174 0.0421889 0.0241563 -0.476976 0.0 0.0,0.788387 0.66913 -0.138715 0.131471 0.579984 0.221449 -0.119965 0.317363 0.764102 0.0241563,0.00280438 0.00295427 0.0569902 -0.509545 0.808491 0.294453 -0.819551 -0.56027 0.120139 0.262107 -0.180104 0.948082,[0.104411127733455 -0.421844518548256 -0.900636174365775 0.712027125263842;-0.550229253856919 0.729862848687643 -0.405645153188863 0.0742225271479515;0.828460068202135 0.537910238121889 -0.155905391562209 0.971635743097834;0 0 0 1]
70,1.64E+12,3.00E+00,0.45511 0.0421889 0.0241563 -0.47688 0.0 0.0,0.788387 0.659324 -0.121816 0.134629 0.619719 0.231554 -0.148783 0.319259 0.764121 0.0241563,0.00279802 0.0048752 0.0603876 -0.490503 0.827174 0.2742 -0.837466 -0.534439 0.114133 0.240953 -0.173652 0.954874,[0.102035416875775 -0.382440431867887 -0.918328965989689 0.693536694611674;-0.507262676572084 0.774106139485244 -0.378740361947571 0.083641150223458;0.855729718228783 0.504478939980606 -0.115011514450214 0.985332025194551;0 0 0 1]
77,1.64E+12,3.00E+00,0.45511 0.0421889 0.0241563 -0.476976 0.0 0.0,0.788389 0.636793 -0.13155 0.133344 0.639234 0.212523 -0.107238 -0.870994 0.763813 0.0241563,-0.00130074 0.000416796 0.0591685 -0.461533 0.836504 0.295371 -0.85058 -0.51185 0.120509 0.251994 -0.19562 0.947749,[-0.497621806724391 0.710878901007908 -0.497014814240122 0.716021936225055;0.331168352631707 0.685298965078554 0.648608395472541 0.11312771508312;0.801685761185487 0.158166104346199 -0.576440303716172 0.982196737894227;0 0 0 1]
83,1.64E+12,3.00E+00,0.45511 0.0421889 0.0241563 -0.476976 0.0 0.0,0.788386 0.583692 -0.149003 0.130265 0.631719 0.24336 -0.0469798 -1.22777 0.764084 0.0241563,-0.00639196 -0.00324796 0.0598997 -0.475363 0.843251 0.250905 -0.839747 -0.519945 0.156474 0.262406 -0.136317 0.95528,[-0.324998816214962 0.906440902385172 -0.269704764403651 0.692599104414281;0.638567115645227 0.42069074802206 0.644399979318106 0.110484478360368;0.697572797832175 0.0372046369663158 -0.715547347638712 0.977787840048921;0 0 0 1]
85,1.64E+12,3.00E+00,0.45511 0.0421889 0.0241563 -0.476976 0.0 0.0,0.788386 0.578934 -0.150996 0.130043 0.640298 0.246489 -0.0359722 -1.24379 0.764121 0.0241563,-0.00633152 -0.00328074 0.0597263 -0.463278 0.847239 0.259915 -0.846356 -0.509953 0.15372 0.262785 -0.148767 0.953316,[-0.303697844577046 0.916253557775902 -0.261241338731561 0.688890234894607;0.644624811062189 0.399507481280662 0.651807199533588 0.112493324634256;0.701588534799632 0.029549792956685 -0.711969337523691 0.980032022415019;0 0 0 1]
90,1.64E+12,3.00E+00,0.455174 0.0421889 0.0241563 -0.47688 0.0 0.0,0.788387 0.583912 -0.147934 0.129603 0.700813 0.231516 0.00307035 -1.23319 0.764266 0.0241563,-0.0059841 -0.00257918 0.0589504 -0.393087 0.871866 0.292112 -0.870449 -0.455215 0.187344 0.296314 -0.180628 0.937854,[-0.23873965156797 0.934294604481647 -0.264758325281165 0.697389713692349;0.619722779383031 0.356490520740643 0.699183942418471 0.130170090862819;0.747627618191687 0.00284616558686515 -0.664112071760842 0.995142810567668;0 0 0 1]
